trial_count,FB,TS,correct_action,response,rt,stim,correct,con_ts,con_stim,curr_ts,switch
28,0,"{'probs': (0.8, 0.2), 'actions': ['j', 'k']}",k,l,0.512747049331665,1,False,False,True,1,True
29,0,"{'probs': (0.8, 0.2), 'actions': ['j', 'k']}",k,h,0.48935794830322266,1,False,False,False,1,False
30,0,"{'probs': (0.8, 0.2), 'actions': ['j', 'k']}",k,l,0.36385297775268555,1,False,False,True,1,False
31,1,"{'probs': (0.8, 0.2), 'actions': ['h', 'l']}",h,h,0.3545231819152832,0,True,True,True,1,False
32,0,"{'probs': (0.8, 0.2), 'actions': ['h', 'l']}",l,k,0.4966239929199219,1,False,False,True,0,True
33,1,"{'probs': (0.8, 0.2), 'actions': ['h', 'l']}",h,h,0.436474084854126,0,True,True,True,1,True
34,1,"{'probs': (0.8, 0.2), 'actions': ['h', 'l']}",l,l,0.31282711029052734,1,True,True,True,1,False
35,1,"{'probs': (0.8, 0.2), 'actions': ['h', 'l']}",l,l,0.4429600238800049,1,True,True,True,1,False
36,1,"{'probs': (0.8, 0.2), 'actions': ['h', 'l']}",h,h,0.37134695053100586,0,True,True,True,1,False
37,1,"{'probs': (0.8, 0.2), 'actions': ['h', 'l']}",l,l,0.3843569755554199,1,True,True,True,1,False
38,1,"{'probs': (0.8, 0.2), 'actions': ['h', 'l']}",l,l,0.45818591117858887,1,True,True,True,1,False
39,1,"{'probs': (0.8, 0.2), 'actions': ['h', 'l']}",l,l,0.48000597953796387,1,True,True,True,1,False
40,0,"{'probs': (0.8, 0.2), 'actions': ['h', 'l']}",h,h,0.45754098892211914,0,True,True,True,1,False
41,1,"{'probs': (0.8, 0.2), 'actions': ['h', 'l']}",l,l,0.545295000076294,1,True,True,True,1,False
42,1,"{'probs': (0.8, 0.2), 'actions': ['h', 'l']}",h,h,0.38331007957458496,0,True,True,True,1,False
43,1,"{'probs': (0.8, 0.2), 'actions': ['h', 'l']}",h,h,0.4983079433441162,0,True,True,True,1,False
44,1,"{'probs': (0.8, 0.2), 'actions': ['h', 'l']}",h,h,0.4776439666748047,0,True,True,True,1,False
45,0,"{'probs': (0.8, 0.2), 'actions': ['h', 'l']}",l,l,0.4920470714569092,1,True,True,True,1,False
